Learning Rate, Gamma, Reward 
0.1, 0.3, -344.0
0.1, 0.3, -682.0
0.1, 0.3, -546.0
0.1, 0.3, -1669.0
0.1, 0.3, -193.0
0.1, 0.3, -213.0
0.1, 0.3, -196.0
0.1, 0.3, -487.0
0.1, 0.3, -223.0
0.1, 0.3, -1079.0
0.1, 0.3, -656.0
0.1, 0.3, -803.0
0.1, 0.3, -726.0
0.1, 0.3, -528.0
0.1, 0.3, -410.0
0.1, 0.3, -365.0
0.1, 0.3, -304.0
0.1, 0.3, -205.0
0.1, 0.3, -646.0
0.1, 0.3, -276.0
0.1, 0.3, -309.0
0.1, 0.3, -326.0
0.1, 0.3, -251.0
0.1, 0.3, -158.0
0.1, 0.3, -209.0
0.1, 0.3, 20.0
0.1, 0.3, -259.0
0.1, 0.3, -339.0
0.1, 0.3, -436.0
0.1, 0.3, -219.0
0.1, 0.3, -726.0
0.1, 0.3, -253.0
0.1, 0.3, -287.0
0.1, 0.3, -485.0
0.1, 0.3, -558.0
0.1, 0.3, -206.0
0.1, 0.3, -229.0
0.1, 0.3, -229.0
0.1, 0.3, -417.0
0.1, 0.3, -45.0
0.1, 0.3, 2.0
0.1, 0.3, -263.0
0.1, 0.3, -289.0
0.1, 0.3, -108.0
0.1, 0.3, -28.0
0.1, 0.3, -105.0
0.1, 0.3, -749.0
0.1, 0.3, -54.0
0.1, 0.3, -99.0
0.1, 0.3, -87.0
0.1, 0.3, -639.0
0.1, 0.3, -568.0
0.1, 0.3, -231.0
0.1, 0.3, -73.0
0.1, 0.3, -364.0
0.1, 0.3, -191.0
0.1, 0.3, -203.0
0.1, 0.3, -92.0
0.1, 0.3, -44.0
0.1, 0.3, -45.0
0.1, 0.3, -13.0
0.1, 0.3, -227.0
0.1, 0.3, -877.0
0.1, 0.3, -271.0
0.1, 0.3, -385.0
0.1, 0.3, -7.0
0.1, 0.3, -66.0
0.1, 0.3, -128.0
0.1, 0.3, -7.0
0.1, 0.3, -25.0
0.1, 0.3, -274.0
0.1, 0.3, 6.0
0.1, 0.3, -495.0
0.1, 0.3, -67.0
0.1, 0.3, -210.0
0.1, 0.3, -76.0
0.1, 0.3, -153.0
0.1, 0.3, 32.0
0.1, 0.3, -290.0
0.1, 0.3, -69.0
0.1, 0.3, -200.0
0.1, 0.3, -102.0
0.1, 0.3, -16.0
0.1, 0.3, -84.0
0.1, 0.3, -2.0
0.1, 0.3, -1364.0
0.1, 0.3, -13.0
0.1, 0.3, 4.0
0.1, 0.3, -88.0
0.1, 0.3, 4.0
0.1, 0.3, -52.0
0.1, 0.3, -34.0
0.1, 0.3, -40.0
0.1, 0.3, -216.0
0.1, 0.3, -19.0
0.1, 0.3, -104.0
